key,where,placeholders,en,cs
managerTierBasic,Staff quality tier.,,Basic,Základní
managerTierGood,Staff quality tier.,,Good,Dobrý
managerTierElite,Staff quality tier.,,Elite,Špičkový
managerFree,Cost of hiring nobody.,,free,zdarma
managerTraining,Manager screen: training focus section heading.,,BETWEEN WINDOWS,MEZI SRAZY
managerTrainingBlurb,Manager screen: what the training focus is.,,What the squad works on when there is no match to play.,"Na čem tým pracuje, když se zrovna nehraje."
managerFocusBalanced,Training focus.,,Balanced,Vyvážený
managerFocusBalancedBlurb,Training focus effect.,,A bit of everything.,Od každého něco.
managerFocusFitness,Training focus.,,Fitness,Kondice
managerFocusFitnessBlurb,Training focus effect.,,Fewer knocks.,Méně zranění.
managerFocusCohesion,Training focus.,,Cohesion,Sehranost
managerFocusCohesionBlurb,Training focus effect.,,The shape beds in faster.,Rozestavení si sedne rychleji.
managerFocusYouth,Training focus.,,Youth,Mládež
managerFocusYouthBlurb,Training focus effect.,,Hours with the youngest in the pool.,Hodiny s nejmladšími hráči.
tourOfferTitle,Guided tour string.,,First time here?,Poprvé tady?
tourOfferBody,Guided tour string.,,"This is a big game. Want a quick walk through the screens that matter? It takes a minute, and you can start it again any time from Settings.","Tahle hra toho umí hodně. Chcete rychle provést obrazovkami, na kterých záleží? Zabere to minutu a kdykoli to můžete spustit znovu v Nastavení."
tourOfferYes,Guided tour string.,,Show me around,Proveďte mě
tourOfferNo,Guided tour string.,,No thanks,Teď ne
tourBack,Guided tour string.,,Back,Zpět
tourNext,Guided tour string.,,Next,Dál
tourDone,Guided tour string.,,Done,Hotovo
tourSkip,Guided tour string.,,Skip,Přeskočit
tourHubTitle,Guided tour string.,,This is the whole game,Tohle je celá hra
tourHubBody,Guided tour string.,,"One button, and it changes as the cycle moves: a draw to watch, a squad to name, a match to play. Above it sit the board's confidence in you and the objectives they have set.","Jedno tlačítko, které se mění podle toho, kde je cyklus: los k vidění, nominace, zápas. Nad ním je důvěra vedení a cíle, které vám dalo."
tourBudgetTitle,Guided tour string.,,The federation's money,Peníze federace
tourBudgetBody,Guided tour string.,,"Once every four-year cycle you split the war chest between the departments. Your staff are paid out of it first, so hiring an elite scout is a decision you make against the academy, not alongside it.","Jednou za čtyřletý cyklus rozdělíte rozpočet mezi oddělení. Nejdřív se z něj platí štáb, takže špičkový skaut je rozhodnutí proti akademii, ne vedle ní."
tourTacticsTitle,Guided tour string.,,How the side plays,Jak tým hraje
tourTacticsBody,Guided tour string.,,"Your shape, your way of playing, your captain and who takes the set pieces. Leave the last two unset and the game will warn you before kick-off rather than quietly picking for you.","Rozestavení, styl hry, kapitán a exekutoři standardek. Poslední dvě věci nemusíte nastavit. Hra vás před výkopem upozorní, místo aby za vás tiše vybrala."
tourSquadTitle,Guided tour string.,,Everyone you can pick,"Všichni, koho můžete vzít"
tourSquadBody,Guided tour string.,,"The whole pool, not just the squad: who is in form, who is carrying a knock, who is banned, and who has just come through the academy.","Celý kádr, ne jen nominace: kdo je ve formě, kdo se doléčuje, kdo má stopku a kdo právě prošel akademií."
tourCallUpsTitle,Guided tour string.,,Naming a squad,Nominace
tourCallUpsBody,Guided tour string.,,"You name one squad per international window and it plays every match of that window, exactly as a real manager does. An injury inside the window pulls in a replacement for you.","Nominujete jednou na reprezentační okno a ta soupiska odehraje všechny zápasy okna, přesně jako skutečný trenér. Zranění uvnitř okna za vás doplní náhradník."
tourRecordsTitle,Guided tour string.,,Your career,Vaše kariéra
tourRecordsBody,Guided tour string.,,"Everything you have done: the matches, the team records, the trophies, and every nation you have managed.","Všechno, co jste dokázali: zápasy, týmové rekordy, trofeje a každý národ, který jste vedli."
tourCupsTitle,Guided tour string.,,The rest of the world,Zbytek světa
tourCupsBody,Guided tour string.,,"Every competition running right now: groups, standings and knockouts, including the ones you are not in. The world keeps playing whether or not you qualified.","Všechny soutěže, které právě běží: skupiny, tabulky i vyřazovací fáze, včetně těch, kde nejste. Svět hraje dál, ať jste postoupili nebo ne."
settingsTourTitle,Guided tour string.,,Replay the tutorial,Spustit tutoriál znovu
settingsTourBlurb,Guided tour string.,,Walk through the key screens again from the start.,Znovu si projděte klíčové obrazovky od začátku.
tourBoardTitle,Guided tour string.,,Who you answer to,Komu se zodpovídáte
tourBoardBody,Guided tour string.,,"The board's confidence in you, and the objectives they have set for this cycle. Miss the brief and this is where you will see it coming.","Důvěra vedení a cíle, které vám na tenhle cyklus dalo. Když je neplníte, poznáte to právě tady."
tourStaffTitle,Guided tour string.,,The people around you,Lidé kolem vás
tourStaffBody,Guided tour string.,,"An assistant, a scout and a fitness coach, hired by name. Their wages come out of this budget before the departments do, so a great scout is a decision against the academy.","Asistent, skaut a kondiční trenér, každý jmenovitě. Jejich mzdy se platí z tohohle rozpočtu dřív než oddělení, takže špičkový skaut je rozhodnutí proti akademii."
tourPlaystyleTitle,Guided tour string.,,Your way of playing,Jak chcete hrát
tourPlaystyleBody,Guided tour string.,,"The shape is only half a tactic. This is the other half: how high you press, how direct you are, how much you risk.","Rozestavení je jen půlka taktiky. Tohle je ta druhá: jak vysoko napadáte, jak přímočaře hrajete, kolik riskujete."
settingsTourNoSave,Guided tour string.,,Start a career first. The walk through visits your own screens.,Nejdřív si založte kariéru. Průvodce prochází vaše vlastní obrazovky.
tacticsOutOfPositionAge,"Sub picker: an out-of-position candidate, with his age.",{age},Out of position · Age {age},Mimo pozici · Věk {age}
federationNextCycleLocked,"Finances: says the next cycle's budget is decided at its start, not here.",,"The next cycle's budget is set at the start of that cycle, in one go. Until then this is what your money is doing.","Rozpočet na další cyklus se rozděluje na jeho začátku, najednou. Do té doby tady vidíte, co vaše peníze dělají."
federationBudgetAlreadySet,Budget screen: the allocation for this cycle is already committed.,,Already set for this cycle,Pro tenhle cyklus už je rozdělený
yFinalLooms0,Y feed: anticipation before a final.,{opponent},"It's {opponent} for the big one. All week, this is all anybody is going to talk about.",Je to {opponent} a jde se o všechno. Celý týden se nebude mluvit o ničem jiném.
yFinalLooms1,Y feed: anticipation before a final.,{opponent},Confirmed: {opponent} stand between us and it. Four years for this.,Potvrzeno: mezi námi a tím stojí {opponent}. Čtyři roky kvůli tomuhle.
yFinalLooms2,Y feed: anticipation before a final.,{opponent},Right. {opponent}. Nobody sleeps until this is over.,"Tak jo. {opponent}. Dokud tohle neskončí, nikdo nespí."
yFinalLooms3,Y feed: anticipation before a final.,{opponent},"{opponent} next, and everything else can wait. What a week to be alive.",Další je {opponent} a všechno ostatní počká. To je týden.
friendliesLikeYourGroup,Friendlies: why these opponents are suggested first.,{rivals},"Marked below: sides who play like {rivals}, who you have drawn.",Označené jsou týmy podobné soupeřům ze skupiny: {rivals}.
newsTransferWindowTitle,"Inbox: the window's transfers, as one report.",{year},Transfer window · {year},Přestupní okno · {year}
careerLastAgo,"Saves list: how long since this save was opened, in one short unit.",{when},Last {when} ago,Naposledy před {when}
settingsFreeScopeTitle,Settings: what the free game covers.,,One free four-year cycle,Jeden čtyřletý cyklus zdarma
settingsFreeScopeBlurb,Settings: what the free game covers.,,"A complete cycle (qualifying, your continental championship and the World Championship) with nothing held back. Carrying a save on past it is a single payment, once, and it covers every save and every future update.","Celý cyklus (kvalifikace, kontinentální šampionát i mistrovství světa) bez jakéhokoli omezení. Pokračovat s uloženou hrou dál je jednorázová platba, jednou, a platí pro všechny uložené hry i všechny budoucí aktualizace."
settingsUnlockedTitle,Settings: what the free game covers.,,Unlocked,Odemčeno
settingsUnlockedBlurb,Settings: what the free game covers.,,"Unlimited careers, every nation, ten save slots and every future update. Thank you.","Neomezené kariéry, všechny národy, deset pozic pro uložení a všechny budoucí aktualizace. Děkujeme."
friendliesLikeYourCampaign,"Friendlies: why these opponents are suggested first, when the group is a qualifying campaign rather than a finals draw.",{rivals},"Marked below: sides who play like {rivals}, who you still have to face.","Označené jsou týmy podobné soupeřům, kteří vás ještě čekají: {rivals}."
friendliesCloseToYou,"Friendlies: why these opponents are suggested first, before anything is drawn.",,"Marked below: the sides closest to you in the world ranking. Once you are drawn, the marks follow your group.","Označené jsou týmy nejblíž vám ve světovém žebříčku. Až vás vylosují, budou označovány podle vaší skupiny."
transfersMoves,Transfer report: how many moves the window held.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{1 move} other{{count} moves}}","{count, plural, =1{1 přestup} few{{count} přestupy} other{{count} přestupů}}"
transfersRange,Transfer report: which slice of the moves is on screen.,{from} {to} {total},{from}–{to} of {total},{from}–{to} z {total}
hubRoundPage,Round-results popup: which page of a long matchday is shown.,{page} {pages},{page} / {pages},{page} / {pages}
transfersNewer,Transfer report: previous page of moves.,,Newer,Novější
transfersOlder,Transfer report: next page of moves.,,More,Další
transfersUnknownClub,Transfer report: stands in for a side of the move whose club the report does not name.,,Unknown club,Neznámý klub
yAgainstThemAgain0,"Y post: againstThemAgain, variant 0.",{count} {opponent},"That is {count} times against {opponent} now. Somebody is keeping score, and it is them.","To už je {count}. proti {opponent}. Někdo si to počítá, a jsou to oni."
yAgainstThemAgain1,"Y post: againstThemAgain, variant 1.",{opponent} {count},"{opponent} again. {count} meetings, and we still have not worked them out.",Zase {opponent}. {count} zápasů a pořád na ně nemáme recept.
yAgainstThemAgain2,"Y post: againstThemAgain, variant 2.",{count} {opponent},Number {count} against {opponent}. This has stopped being a coincidence.,Číslo {count} proti {opponent}. Tohle už není náhoda.
yAgainstThemAgain3,"Y post: againstThemAgain, variant 3.",{opponent} {count},We have played {opponent} {count} times and learned nothing from any of them.,Hráli jsme s {opponent} {count}krát a ani jednou jsme se nepoučili.
yAgainstThemAgain4,"Y post: againstThemAgain, variant 4.",{opponent} {count},"{opponent}, {count} times. They know exactly what we are going to do.","{opponent}, {count}krát. Přesně vědí, co uděláme."
yAgainstThemAgain5,"Y post: againstThemAgain, variant 5.",{opponent} {count},"Whatever {opponent} have on us, {count} meetings in, they still have it.","Ať na nás {opponent} má cokoli, po {count} zápasech to má pořád."
ySameOldStory0,"Y post: sameOldStory, variant 0.",{count},That is the {count}th time this has happened lately. At what point is it just what we are?,To je poslední dobou už po {count}. Odkdy to prostě nejsme my?
ySameOldStory1,"Y post: sameOldStory, variant 1.",{count},"{count} afternoons like this now. It is a pattern, not a run of luck.","Už {count} takových odpolední. To je vzorec, ne smůla."
